"","tkszam","nev","kiszereles","inn","atc","forgeng","kiadhatosag","kiad_alcs","biztonsag","tk_datum","veglegminta","alaki_hiba","termekhiany"
"12801","OGYI-T-23561/01","FCH MEDICOPUS 20-5000 MBq/ml oldatos injekció","1 X 10 ml injekciós üvegben","18F-fluoromethylcholin","V09IX07","'Medicopus Nonprofit Kft.","I","","nem","2019-06-07 00:00:00","nem","nem","nem"
"20736","OGYI-T-23562/01","MEROPENEM ANFARM  500 mg por oldatos injekcióhoz vagy infúzióhoz","1 X   - injekciós üvegben","meropenem","J01DH02","'Anfarm Hellas S.A.","I","","igen","2019-06-07 00:00:00","nem","nem","nem"
"20737","OGYI-T-23562/02","MEROPENEM ANFARM  500 mg por oldatos injekcióhoz vagy infúzióhoz","10 X   - injekciós üvegben","meropenem","J01DH02","'Anfarm Hellas S.A.","I","","igen","2019-06-07 00:00:00","nem","nem","nem"
"20738","OGYI-T-23562/03","MEROPENEM ANFARM 1 g por oldatos injekcióhoz vagy infúzióhoz","1 X   - injekciós üvegben","meropenem","J01DH02","'Anfarm Hellas S.A.","I","","igen","2019-06-07 00:00:00","nem","nem","nem"
"20739","OGYI-T-23562/04","MEROPENEM ANFARM 1 g por oldatos injekcióhoz vagy infúzióhoz","10 X   - injekciós üvegben","meropenem","J01DH02","'Anfarm Hellas S.A.","I","","igen","2019-06-07 00:00:00","nem","nem","nem"
"24390","OGYI-T-20607/50","OXIGÉN LINDE mélyhûtött orvosi gáz","1 X 37 l rozsdamentes acél. felhasználónál maradó tartály kriogén üzemû csatlakozókkal + biztonsági szeleppel","oxygen","V03AN01","'LINDE GÁZ Magyarország zrt.","J","","nem","2009-01-16 00:00:00","nem","nem","nem"
"30535","OGYI-T-23557/04","SIDARSO 4 mg kemény kapszula","60 X 1 - adagonként perforált buborékcsomagolásban","silodosin","G04CA04","'Krka d.d.","V","","igen","2019-06-05 00:00:00","nem","nem","nem"
"30536","OGYI-T-23557/02","SIDARSO 4 mg kemény kapszula","30 X 1 - adagonként perforált buborékcsomagolásban","silodosin","G04CA04","'Krka d.d.","V","","igen","2019-06-05 00:00:00","nem","nem","nem"
"30537","OGYI-T-23557/05","SIDARSO 4 mg kemény kapszula","90 X   - buborékcsomagolásban","silodosin","G04CA04","'Krka d.d.","V","","igen","2019-06-05 00:00:00","nem","nem","nem"
"30538","OGYI-T-23557/03","SIDARSO 4 mg kemény kapszula","60 X   - buborékcsomagolásban","silodosin","G04CA04","'Krka d.d.","V","","igen","2019-06-05 00:00:00","nem","nem","nem"
"30539","OGYI-T-23557/06","SIDARSO 4 mg kemény kapszula","90 X 1 - adagonként perforált buborékcsomagolásban","silodosin","G04CA04","'Krka d.d.","V","","igen","2019-06-05 00:00:00","nem","nem","nem"
"30540","OGYI-T-23557/01","SIDARSO 4 mg kemény kapszula","30 X   - buborékcsomagolásban","silodosin","G04CA04","'Krka d.d.","V","","igen","2019-06-05 00:00:00","nem","nem","nem"
"30541","OGYI-T-23557/12","SIDARSO 8 mg kemény kapszula","90 X 1 - adagonként perforált buborékcsomagolásban","silodosin","G04CA04","'Krka d.d.","V","","igen","2019-06-05 00:00:00","nem","nem","nem"
"30542","OGYI-T-23557/07","SIDARSO 8 mg kemény kapszula","30 X   - buborékcsomagolásban","silodosin","G04CA04","'Krka d.d.","V","","igen","2019-06-05 00:00:00","nem","nem","nem"
"30543","OGYI-T-23557/10","SIDARSO 8 mg kemény kapszula","60 X 1 - adagonként perforált buborékcsomagolásban","silodosin","G04CA04","'Krka d.d.","V","","igen","2019-06-05 00:00:00","nem","nem","nem"
"30544","OGYI-T-23557/08","SIDARSO 8 mg kemény kapszula","30 X 1 - adagonként perforált buborékcsomagolásban","silodosin","G04CA04","'Krka d.d.","V","","igen","2019-06-05 00:00:00","nem","nem","nem"
"30545","OGYI-T-23557/11","SIDARSO 8 mg kemény kapszula","90 X   - buborékcsomagolásban","silodosin","G04CA04","'Krka d.d.","V","","igen","2019-06-05 00:00:00","nem","nem","nem"
"30546","OGYI-T-23557/09","SIDARSO 8 mg kemény kapszula","60 X   - buborékcsomagolásban","silodosin","G04CA04","'Krka d.d.","V","","igen","2019-06-05 00:00:00","nem","nem","nem"
"30632","OGYI-T-23559/01","SILBESAN 4 mg kemény kapszula","30 X   - buborékcsomagolásban","silodosin","G04CA04","'Krka d.d.","V","","igen","2019-06-05 00:00:00","nem","nem","nem"
"30633","OGYI-T-23559/04","SILBESAN 4 mg kemény kapszula","60 X 1 - adagonként perforált buborékcsomagolásban","silodosin","G04CA04","'Krka d.d.","V","","igen","2019-06-05 00:00:00","nem","nem","nem"
"30634","OGYI-T-23559/02","SILBESAN 4 mg kemény kapszula","30 X 1 - adagonként perforált buborékcsomagolásban","silodosin","G04CA04","'Krka d.d.","V","","igen","2019-06-05 00:00:00","nem","nem","nem"
"30635","OGYI-T-23559/05","SILBESAN 4 mg kemény kapszula","90 X   - buborékcsomagolásban","silodosin","G04CA04","'Krka d.d.","V","","igen","2019-06-05 00:00:00","nem","nem","nem"
"30636","OGYI-T-23559/03","SILBESAN 4 mg kemény kapszula","60 X   - buborékcsomagolásban","silodosin","G04CA04","'Krka d.d.","V","","igen","2019-06-05 00:00:00","nem","nem","nem"
"30637","OGYI-T-23559/06","SILBESAN 4 mg kemény kapszula","90 X 1 - adagonként perforált buborékcsomagolásban","silodosin","G04CA04","'Krka d.d.","V","","igen","2019-06-05 00:00:00","nem","nem","nem"
"30638","OGYI-T-23559/09","SILBESAN 8 mg kemény kapszula","60 X   - buborékcsomagolásban","silodosin","G04CA04","'Krka d.d.","V","","igen","2019-06-05 00:00:00","nem","nem","nem"
"30639","OGYI-T-23559/12","SILBESAN 8 mg kemény kapszula","90 X 1 - adagonként perforált buborékcsomagolásban","silodosin","G04CA04","'Krka d.d.","V","","igen","2019-06-05 00:00:00","nem","nem","nem"
"30640","OGYI-T-23559/07","SILBESAN 8 mg kemény kapszula","30 X   - buborékcsomagolásban","silodosin","G04CA04","'Krka d.d.","V","","igen","2019-06-05 00:00:00","nem","nem","nem"
